Alimento,Valor energético (Kcal),Agua (g),Proteínas (g),Lípidos totales (g),Colesterol (mg),Saturados (g),Monoinsaturados (g),Polininsaturados (g),Trans (g),18:2 cis Linoléico (g),18:3 cis Alfa linolénico (ALA) (g),20:4 Araquidónico (g),20:5 n-3 Eicosapentae- noico (EPA) (g),22:6 n-3 Docosahexae- noico (DHA) (g),Carbohidratos disponibles (g),Carbohidratos totales (g),Azúcar total (g),Azúcar agregado (g),Fibra alimentaria (g),Alcohol (g),Cenizas (g),Sodio (mg),Potasio (mg),Calcio (mg),Cobre (mg),Fósforo (mg),Hierro (mg),Magnesio (mg),Zinc (mg),Niacina (mg),Folato EFD (µg),Ácido fólico (µg),"Vitamina A, (µg)
RAE",Retinol (µg),Tiamina (mg),Riboflavina (mg),Vitamina B-12 (µg),Vitamina C (mg),Vitamina D (µg)
Barra de cereal light,323,12.2,5.2,3.7,0,0.40,2.10,0.80,0,0.72,0.080,0,0,0,67.3,78.9,18.2,18.2,11.6,0,x,161,308,88,0.24,177,1.81,50,1.0,1.50,10,0,0,0,0.180,0.080,0,2.0,0
"Barra de cereales, PROMEDIO",370,8.9,5.6,10.7,0.3,3.85,4.44,1.87,0.01,1.63,0.240,0,0,0,62.9,66.0,34.3,34.3,3.1,0,x,156,308,51,0.24,177,1.81,50,1.0,1.50,10,0,0,0,0.180,0.080,0,2.0,0
Butifarra,296,54.8,13.6,25.1,63,8.60,10.60,4.30,0.12,3.70,0.156,0.095,0.002,0.003,3.8,3.8,0,0,0,0,2.72,788,308,19,0.084,149,1.41,20,1.68,5.47,0,0,0,0,0.207,0.310,2.00,0,1.50
"Chorizo, crudo",296,54.8,13.6,25.1,63,8.60,10.60,4.30,0.12,3.70,0.156,0.095,0.002,0.003,3.8,3.8,0,0,0,0,2.72,788,308,19,0.084,149,1.41,20,1.68,5.47,0,0,0,0,0.207,0.310,2.00,0,1.50
"Salchicha parrillera, cruda",296,54.8,13.6,25.1,63,8.60,10.60,4.30,0.12,3.70,0.156,0.095,0.002,0.003,3.8,3.8,0,0,0,0,2.72,788,308,19,0.084,149,1.41,20,1.68,5.47,0,0,0,0,0.207,0.310,2.00,0,1.50
Matambre (fiambre),176,68.0,21.3,10.1,66,4.12,4.68,0.56,0.40,0.25,0.011,0.044,0,0,0,0,0,0,0,0,1.01,61,306,13,0.071,194,2.07,17,4.82,5.51,4,0,3,3,0.071,0.192,2.32,0,0.08
"Vacuno, cortes semigrasos***, PROMEDIO, crudo",176,68.0,21.3,10.1,66,4.12,4.68,0.56,0.40,0.25,0.011,0.044,0,0,0,0,0,0,0,0,1.01,61,306,13,0.071,194,2.07,17,4.82,5.51,4,0,3,3,0.071,0.192,2.32,0,0.08
"Remolacha, hervida",40,87.1,1.68,0.18,0,0.03,0.04,0.06,0,0.06,0.005,0,0,0,7.96,9.96,7.96,0,2,0,1.12,77,305,16,0.074,38,0.79,23,0.35,0.331,80,0,2,0,0.027,0.04,0,3.6,0
Bombón helado,328,46.3,4.1,24.1,28,13.20,6.39,3.26,0,2.97,0.283,0,0,0,23.7,24.5,18.3,18.3,0.8,0,1,68,305,119,0.076,173,0.29,28,0.82,0.18,7,0,19,15,0.062,0.261,0.49,0,0.28
"Cordero, PROMEDIO (horno/pa- rrilla)",249,58.7,24.5,16.8,87,7.94,6.71,0.66,0,0.41,0.196,0.041,0,0,0,0,0,0,0,0,0.98,76,301,17,0.142,195,1.93,22,4.68,5.44,23,0,0,0,0.123,0.332,2.87,0,0
"Jabalí, crudo",116,72.5,21.5,3.3,69,0.99,1.30,0.48,0,0.38,0.100,0,0,0,0,0,0,0,0,0,0.97,46,301,12,0.1,120,0.85,21,2.29,4.00,5,0,0,0,0.390,0.110,0.53,0,0
"Conejo, hervido",197,58.8,30.4,8.4,86,2.51,2.27,1.63,0,1.30,0.340,0,0,0,0,0,0,0,0,0,1.09,37,300,20,0.176,226,2.37,20,2.37,7.16,9,0,0,0,0.060,0.170,6.51,0,0
"Zucchini, hervido",16,94.7,1.2,0.3,0,0.08,0.01,0.09,0,0.03,0.061,0,0,0,2.1,3.1,2.5,0,1.0,0,0.66,9,297,18,0.06,43,0.42,20,0.36,0.49,19,0,11,0,0.043,0.101,0,16.3,0
"Ñoquis de papa frescos, artesa- nal, hervidos",151,56.8,5.5,2.5,20,1.19,0.66,0.25,0.06,0.16,0.012,0.007,0,0,26.6,29.1,0.7,0,2.0,0,1.20,258,296,63,0.16,103,1.17,21,0.66,1.48,89,43,22,22,0.237,0.102,0.14,8.5,0.10
"Ñoquis de papa, envasados, her- vidos",151,56.8,5.5,2.5,20,1.19,0.66,0.25,0.06,0.16,0.012,0.007,0,0,26.6,29.1,0.7,0,2.0,0,1.20,258,296,63,0.16,103,1.17,21,0.66,1.48,89,43,22,22,0.237,0.102,0.14,8.5,0.10
"Cornalitos, crudos",86,79.2,16.0,2.2,61,0.65,0.69,0.28,0,0.00,0,0.055,0.074,0.058,0.6,0.6,0,0,0,0,2.15,90,296,680,0.04,590,2.00,40,0.42,3.10,15,0,12,12,0.095,0.214,2.50,0,0.68
"Albahaca, cruda",23,92.1,3.2,0.6,0,0.04,0.09,0.39,0,0.07,0.316,0,0,0,1.1,2.7,0.3,0,1.6,0,1.49,4,295,177,0.385,56,3.17,64,0.81,0.90,68,0,264,0,0.034,0.076,0,18.0,0
Bondiola (fiambre),264,59.1,16.5,22.0,53,7.94,9.76,2.33,0,2.02,0.319,x,0,0,0,0,0,0,0,0,3.85,1250,295,7,0.09,199,0.82,13,2.35,2.72,3,0,0,0,0.540,0.220,1.30,0.3,0
Hamburguesa de carne vacuna (carnicería),209,65.7,18.6,15.0,68,5.72,6.47,0.43,0.86,0.35,0.042,0.034,0.002,0.001,0,0,0,0,0,0,0.91,66,295,15,0.067,171,2.09,18,4.48,4.65,6,0,4,4,0.042,0.151,2.17,0,0.12
"Pastas  secas, SIN TACC, crudas",322,10.0,7.5,2.1,0,0.29,0.54,0.92,0,0.88,0.046,0,0,0,68.3,79.3,0,0,11.0,0,1.2,3,294,4,0.202,253,0.93,119,1.79,2.43,25,0,9,0,0.231,0.087,0,0,0
"Brócoli, hervido",29,89.3,2.4,0.4,0,0.08,0.04,0.17,0,0.05,0.119,0,0,0,3.9,7.2,1.4,0,3.3,0,0.77,41,293,40,0.061,67,0.67,21,0.45,0.55,108,0,77,0,0.063,0.123,0,64.9,0
Guayaba,47,80.8,0.8,1.0,0,0.27,0.09,0.40,0,0.29,0.112,0,0,0,8.9,14.3,8.9,0,5.4,0,1.39,2,290,18,0.23,40,0.26,22,0.23,1.08,49,0,31,0,0.067,0.040,0,228.3,0
"Galletas de arroz horneadas tipo
snack varios sabores",367,5.8,8.2,2.8,0,0.64,1.03,0.98,0,0.93,0.049,0,0,0,77.3,81.5,0.6,0,4.2,0,1.7,326,290,11,0.445,360,1.49,131,3,7.81,21,0,0,0,0.061,0.165,0,0,0
Galletas de arroz sin sal,367,5.8,8.2,2.8,0,0.57,1.03,0.99,0,0.94,0.050,0,0,0,77.3,81.5,0.9,0,4.2,0,1.7,26,290,11,0.445,360,1.49,131,3,7.81,21,0,0,0,0.061,0.165,0,0,0
"Porotos, enlatados",80,74.0,5.9,0.5,0,0.10,0.02,0.15,0,0.14,0.015,0,0,0,13.0,19.7,1.1,0,6.7,0,x,235,290,15,0.14,68,1.50,27,0.6,0.20,12,0,0,0,0.050,0.030,0,0,0
Milanesa de pollo rebozada (po- llería / granja),172,59.4,19.8,3.9,84,0.89,1.03,0.95,0.01,0.79,0.053,0.055,0,0,14.5,15.5,1.4,0.6,1.0,0,1.49,199,290,47,0.09,203,1.48,30,0.9,8.29,45,18,18,18,0.280,0.250,0.29,0,0.17
"Bocaditos de pescado, prefritos",248,47.9,19.0,9.7,20,1.37,2.42,5.27,0,4.83,0.100,0,0.087,0.231,21.1,22.5,1.9,0.9,1.4,0,0.9,380,288,75,0.11,239,3.15,33,0.7,1.55,49,20,0,0,0.178,0.290,0.86,0.8,1.21
"Milanesa de pescado, prefrita",248,47.9,19.0,9.7,20,1.37,2.42,5.27,0,4.83,0.100,0,0.087,0.231,21.1,22.5,1.9,0.9,1.4,0,0.9,380,288,75,0.11,239,3.15,33,0.7,1.55,49,20,0,0,0.178,0.290,0.86,0.8,1.21
"Maíz, grano entero, crudo",317,13.4,9.5,0.9,0,0.14,0.27,0.47,0,0.46,0.014,0,0,0,67.6,74.9,0.6,0,7.3,0,1.30,35,287,7,0.314,210,2.71,127,2.21,3.63,19,0,0,0,0.385,0.201,0,0,0
"Corazón, vacuno, crudo",107,77.1,17.7,3.9,124,1.38,1.14,0.55,0.18,0.40,0.011,0.128,0,0,0.1,0.1,0,0,0,0,1.1,98,287,7,0.396,212,4.31,21,1.7,7.53,3,0,0,0,0.238,0.906,8.55,2.0,0
Fiambre de cerdo,155,67.3,16.6,8.8,57,0.50,4.35,0.79,0,0.69,0.060,0.038,0,0,2.3,3.6,1.0,0,1.3,0,3.7,814,287,24,0.089,153,1.02,22,1.35,2.90,7,0,0,0,0.626,0.178,0.42,4.0,1.16
"Sardinas, enlatadas al natural",170,66.1,22.1,9.1,66,2.61,2.29,2.73,0.01,0.08,0.060,0.080,1.100,0.920,0,0,0,0,0,0,x,368,287,679,0.13,545,2.73,42,2.2,5.50,4,0,10,10,0.010,0.220,10.80,0,3.30
Chocolate blanco,548,1.3,5.9,32.1,21,19.41,9.10,1.01,0,0.91,0.103,0,0,0,59.0,59.2,59.0,59.0,0.2,0,1.5,90,286,199,0.06,176,0.24,12,0.74,0.75,7,0,9,9,0.063,0.282,0.56,0.5,0
"Rana, cruda",64,83.7,15.5,0.2,50,0.08,0.05,0.10,0,0.02,0.010,0.031,0.014,0.020,0,0,0,0,0,0,0.60,58,285,18,0.25,147,1.50,20,1,1.20,15,0,15,15,0.140,0.250,0.40,0,0.32
"Apio, hervido",14,94.1,0.8,0.2,0,0.04,0.03,0.08,0,0.08,0,0,0,0,2.4,4.0,2.4,0,1.6,0,0.9,91,284,42,0.036,25,0.42,12,0.14,0.37,33,0,26,0,0.023,0.070,0,6.1,0
"Cordero, PROMEDIO, crudo",224,64.9,17.8,17.0,66,8.19,6.91,0.72,0,0.42,0.202,0.069,0,0,0,0,0,0,0,0,0.88,74,284,13,0.145,168,1.43,20,3.67,4.93,23,0,0,0,0.133,0.261,2.47,0,0
"Osobuco, crudo",210,64.8,20.0,14.4,72,6.04,6.50,0.62,0.46,0.23,0.011,0.034,0,0,0,0,0,0,0,0,0.96,52,283,17,0.073,174,1.69,19,3.99,5.45,8,0,2,2,0.076,0.164,1.50,0,0.08
Salchicha de viena,226,61.0,15.3,17.2,46,6.08,8.00,1.58,0.70,1.40,0.180,0,0,0,2.6,2.6,2.4,0,0,0,3.97,1297,283,12,0.08,130,1.15,15,2.47,3.11,5,0,0,0,0.380,0.213,2.67,0,0.30
"Ubre, cruda",230,64.9,15.4,18.7,72,7.83,8.43,0.80,0.60,0.30,0.014,0.044,0,0,0,0,0,0,0,0,1,52,283,70,0.73,160,2.60,12,2,1.30,8,0,0,0,0.090,0.180,1.50,0,0
"Vacuno, cortes grasos*, PROME-
DIO, crudo",210,64.8,20.0,14.4,72,6.04,6.50,0.62,0.46,0.23,0.011,0.034,0,0,0,0,0,0,0,0,0.96,52,283,17,0.073,174,1.69,19.0,3.99,5.45,8,0,2,2,0.076,0.164,1.50,0,0.08
"Brótola, cruda",83,79.5,17.6,1.2,23,0.30,0.43,0.42,0,0.02,0.008,0.025,0.100,0.266,0.4,0.4,0,0,0,0,1.38,82,282,18,0.03,207,2.10,23,0.3,27.20,12,0,0,0,0.076,0.155,1.10,2.7,1.40
Salchichón,243,60.6,15.3,19.9,59,6.88,9.78,2.12,0,1.90,0.200,x,0,0,0.7,0.7,0,0,0,0,3.5,1184,281,11,0.05,139,0.77,14,2.0,3.90,5,0,0,0,0.500,0.160,0.93,0,0
Ketchup,113,68.5,1.0,0.1,0,0.01,0.02,0.04,0,0.04,0.001,0,0,0,27.1,27.4,21.3,10.6,0.3,0,2.94,907,281,15,0.085,26,0.35,13,0.17,1.43,9,0,26,0,0.011,0.166,0,4.1,0
"Hamburguesa de carne vacuna, industrializada",218,63.9,17.3,16.5,66,7.46,6.94,0.31,0.99,0.22,0.080,0.020,0,0,0.1,x,0,0,0,0,2.62,703,278,7,0.12,150,1.79,16,3.7,3.50,9,0,0,0,0.010,0.150,2.00,0,0
"Jugo de papaya, natural",56,85.6,0.4,0.1,0,0.00,0.01,0.03,0,0.03,0,0,0,0,13.4,13.6,13.4,0,0.2,0,0.34,6,278,4,0.053,13,0.24,17,0.05,1.46,7,0,36,0,0,0.131,0,29.8,0
"Cebolla de verdeo, cruda",28,89.8,1.8,0.2,0,0.03,0.03,0.07,0,0.07,0.004,0,0,0,4.7,7.3,2.3,0,2.6,0,0.81,16,276,72,0.083,37,1.48,20,0.39,0.53,64,0,50,0,0.055,0.080,0,18.8,0
"Cebolla de verdeo, rehogada",29,89.7,1.9,0.2,0,0.03,0.03,0.07,0,0.07,0.004,0,0,0,4.9,7.5,2.4,0,2.6,0,0.81,16,276,72,0.083,37,1.48,20,0.39,0.50,45,0,45,0,0.050,0.076,0,16.0,0
"Surubí, crudo",110,76.5,18.2,4.0,40,1.80,1.87,0.52,0,0.12,0.150,0,0.160,0.120,0.2,0.2,0,0,0,0,1.07,72,276,20,0.03,203,1.90,23,0.65,3.04,12,0,0,0,0.208,0.157,9.68,0,1.40
"Tomates cherry, crudos",23,91.4,1.1,0.5,0,0.10,0.03,0.08,0,0.08,0.003,0,0,0,3.6,4.9,3.6,0,1.3,0,x,4,274,10,0.05,31,0.34,12,0.2,0.40,24,0,40,0,0.050,0.020,0,15.0,0
"Sesos, crudos",140,76.3,10.9,10.3,3010,2.30,1.89,1.59,0.61,0.04,0,0.319,0,0.851,1.1,1.1,0,0,0,0,1.51,126,274,43,0.287,362,2.55,13,1.02,3.55,3,0,7,0,0.092,0.199,9.51,10.7,0
"McDonald's, Cajita Feliz, Tomate cherry 50g",23,91.4,1.1,0.5,0,0.10,0.00,0.00,0,0.00,0,0,0,0,3.6,4.9,3.6,0,1.3,0,x,4,274,10,0.05,31,0.34,12,0.2,0.40,24,0,40,0,0.050,0.020,0,15.0,0
"Mandioca, cruda",153,59.68,1.4,0.3,0,0.07,0.08,0.05,0,0.03,0.017,0,0,0,36.3,38.1,1.7,0,1.8,0,0.62,14,271,16,0.1,27,0.27,21,0.34,0.85,27,0,1,0,0.087,0.048,0,20.6,0
"Mandioca, hervida",153,59.7,1.4,0.3,0,0.07,0.08,0.05,0,0.03,0.017,0,0,0,36.3,38.1,1.7,0,1.8,0,0.62,14,271,16,0.1,27,0.27,21,0.34,0.81,19,0,1,0,0.078,0.046,0,17.5,0
"Pato, crudo",130,73.8,18.3,6.0,77,2.32,1.54,0.75,0,0.67,0.080,0,0,0,0.9,0.9,0,0,0,0,1.06,74,271,11,0.253,203,2.40,19,1.9,5.30,25,0,24,24,0.360,0.450,0.40,5.8,0.10
"Chinchulines, tripa gorda, crudos",216,69.2,11.0,19.1,150,15.00,1.31,1.10,0.96,0.88,0.220,0,0,0,0,0,0,0,0,0,0.7,46,270,12,0.15,110,1.80,8,2.5,2.00,2,0,53,53,0.040,0.160,0.10,0,0
"Harina de maíz, cruda",307,11.9,9.1,1.39,0,0.171,0.274,0.695,0,0.67,0.022,0,0,0,64.5,73.9,0.6,0,8.9,0,1.10,25,269,12,0.142,87,2.61,18,0.37,2.40,48,0,11,0,0.189,0.131,0,0,0
Higo,74,78.0,1.4,0.4,0,0.06,0.07,0.14,0,0.14,0,0,0,0,16.3,19.6,16.3,0,2.9,0,0.60,2,268,34,0.07,32,0.42,17,0.15,0.40,6,0,7,0,0.06,0.045,0,2.0,0
"Arroz yamaní, crudo",345,12.4,7.5,2.7,0,0.54,0.97,0.96,0,0.92,0.041,0,0,0,72.8,76.2,0,0,3.4,0,1.27,4,268,33,0.277,264,1.80,143,2.02,4.31,20,0,0,0,0.413,0.043,0,0,0
"Tomate, crudo",17,94.0,1.0,0.2,0,0.03,0.03,0.08,0,0.08,0.003,0,0,0,2.9,4.1,2.6,0,1.2,0,0.90,5,267,9,0.059,43,1.67,11,0.17,0.40,15,0,42,0,0.071,0.067,0,18.1,0
Dulce de leche,315,28.0,6.5,6.6,29,4.07,1.92,0.34,0.33,0.12,0.045,0.008,0,0,57.4,57.4,49.7,44.0,0,0,1.49,138,265,253,0.004,176,0.37,22,0.7,0.21,11,0,74,73,0.016,0.405,0.31,2.6,0.24
Dulce de leche light,287,27.5,5.5,0.5,0,0.30,0.15,0.00,0,0.00,0,0,0,0,65.0,65.0,65.0,60.0,0,0,1.49,138,265,253,0.004,176,0.37,22,0.7,0.21,11,0,74,73,0.016,0.405,0.31,2.6,0.24
Tableta de dulce de leche,339,21.3,6.0,6.0,29,4.07,1.92,0.34,0.33,0.12,0.045,0.008,0,0,65.2,65.2,65.2,60.0,0,0,1.49,120,265,253,0.004,176,0.37,22,0.7,0.21,11,0,74,73,0.016,0.405,0.31,2.6,0.24
Tableta de dulce de leche light,316,19.4,5.9,0.0,0,0.30,0.15,0.00,0,0.00,0,0,0,0,73.2,73.2,73.2,68.0,0,0,1.49,138,265,253,0.004,176,0.37,22,0.7,0.21,11,0,74,73,0.016,0.405,0.31,2.6,0.24
Camarón,91,76.6,21.0,0.8,161,0.10,0.09,0.15,0.00,0.03,0.002,0.012,0.030,0.031,0,0,0,0,0,0,1.23,119,264,64,0.391,214,0.52,35,1.34,1.78,10,0,0,0,0,0.050,2.30,0,0
Níspero,38,87.0,0.6,0.2,0,0.04,0.01,0.09,0,0.09,0.015,0,0,0,8.6,10.7,8.6,0,2.1,0,0.54,4,263,19,0.17,23,0.30,10,0.05,0.18,14,0,76,0,0.020,0.030,0,2.0,0
"Osobuco, hervido",349,41.6,33.4,24.0,120,10.06,10.80,1.03,0.77,0.39,0.018,0.056,0,0,0,0,0,0,0,0,1.04,51,262,13,0.068,174,2.11,20,4.89,5.12,7,0,3,3,0.066,0.179,1.58,0,0.12
"Riñón, crudo",99,77.9,17.4,3.1,411,0.87,0.59,0.55,0.10,0.29,0.007,0.228,0,0,0.3,0.3,0,0,0,0,1.33,182,262,13,0.426,257,4.60,17,1.92,8.03,98,0,419,419,0.357,2.840,27.50,9.4,1.10
"Vacuno, cortes grasos*, PROME-
DIO, hervido",349,41.6,33.4,24.0,120,10.06,10.80,1.03,0.77,0.39,0.018,0.056,0,0,0,0,0,0,0,0,1.04,51,262,13,0.068,174,2.11,20,4.89,5.12,7,0,3,3,0.066,0.179,1.58,0,0.12
"Vacuno, cortes grasos*, PROME-
DIO, horno/parrilla",240,58.7,26.1,15.1,85,6.16,6.65,0.65,0.52,0.26,0.012,0.041,0,0,0,0,0,0,0,0,1.04,51,262,13,0.068,174,2.11,20,4.89,5.12,7,0,3,3,0.066,0.179,1.58,0,0.12
"Abadejo, crudo",72,81.9,15.8,0.9,23,0.30,0.43,0.42,0,0.02,0.008,0.025,0.100,0.266,0.2,0.2,0,0,0,0,1.21,91,262,21,0.03,216,1.90,23,0.3,1.20,12,0,0,0,0.061,0.325,1.10,1.1,1.40
"Gatuzo, crudo",72,81.7,17.4,0.2,23,0.05,0.06,0.06,0,0.00,0,0.010,0.020,0.020,0.1,0.1,0,0,0,0,0.57,91,262,21,0.03,216,1.90,23,0.3,1.20,12,0,0,0,0.061,0.325,1.10,1.1,1.40
"Merluza, cruda",80,80.2,17.1,1.3,23,0.30,0.43,0.42,0,0.02,0.008,0.025,0.100,0.266,0,0,0,0,0,0,x,91,262,21,0.03,216,1.90,23,0.3,1.20,12,0,0,0,0.061,0.325,1.10,1.1,1.40
"Pescados de mar (ej: brótola, corvina blanca, gatuso, lenguado, merluza, etc.), PROMEDIO, crudo",80,80.2,17.1,1.3,54,0.09,0.06,0.17,0.00,0.01,0.002,0.009,0.042,0.089,0,0.1,0,0,0,0,1.24,91,262,21,0.021,216,1.90,21,0.32,1.20,12,0,17,17,0.061,0.325,1.83,1.1,0.72
Conito de dulce de leche enva- sado,413,14.2,5.4,17.1,13,9.43,5.95,1.06,0.15,0.92,0.064,0,0,0,59.5,62.2,46.2,43.6,2.5,0,1.1,86,262,126,0.3,138,1.66,52,0.9,0.50,48,21,33,33,0.104,0.233,0.14,1.2,0.11
"Zucchini, crudo",16,94.8,1.2,0.3,0,0.08,0.01,0.09,0,0.03,0.061,0,0,0,2.1,3.1,2.5,0,1.0,0,0.58,8,261,16,0.053,38,0.37,18,0.32,0.45,24,0,10,0,0.045,0.094,0,17.9,0
"Apio, crudo",10,95.4,0.7,0.2,0,0.04,0.03,0.08,0,0.08,0,0,0,0,1.4,3.0,1.3,0,1.6,0,0.75,80,260,40,0.035,24,0.20,11,0.13,0.32,36,0,22,0,0.021,0.057,0,3.1,0
"Queso blanco descremado, untable",82,78.6,13.7,0.3,0,0.00,0.00,0.00,0,0.00,0,0,0,0,6.1,6.1,5.5,0,0,0,1.29,106,260,116,0.036,198,0.19,22,1.5,0.23,35,0,11,10,0.040,0.265,0.95,0,0
"Vizcacha, cruda",160,73.0,23.9,3.7,57,1.11,1.00,0.72,0,0.70,0.020,0.056,0.004,0.006,7.7,7.7,0,0,0,0,3.61,41,260,69,0.145,29,2.57,19,1.57,7.27,8,0,0,0,0.100,0.150,7.16,9.9,0
Durazno,45,86.9,0.5,0.1,0,0.02,0.07,0.09,0,0.08,0.002,0,0,0,10.5,12.0,8.4,0,1.5,0,0.50,3,259,5,0.068,19,0.38,9,0.17,0.80,4,0,16,0,0.020,0.040,0,6.3,0
"Pejerrey, crudo",86,78.2,18.6,1.2,28,0.28,0.39,0.38,0,0.01,0.007,0.023,0.092,0.244,0.2,0.2,0,0,0,0,1.03,68,256,105,0.03,311,0.70,23,0.3,4.50,12,0,0,0,0.010,0.050,1.10,1.1,1.40
Pan negro sin levadura,228,39.0,12.5,3.5,0,0.72,0.62,1.59,0.02,1.44,0.137,0.004,0,0,36.7,42.7,4.3,4.3,6.0,0,2.32,455,254,161,0.227,212,2.47,75,1.77,4.44,42,0,0,0,0.394,0.167,0,0,0
"Hakusai o col china, crudo",13,95.3,1.5,0.2,0,0.03,0.02,0.10,0,0.04,0.055,0,0,0,1.2,2.2,1.2,0,1.0,0,0.8,65,252,105,0.021,37,0.80,19,0.19,0.50,66,0,223,0,0.040,0.070,0,45.0,0
"Pato, al horno",195,64.2,23.5,11.2,89,3.95,3.86,1.49,0,1.34,0.146,0,0,0,0,0,0,0,0,0,1.11,65,252,12,0.231,203,2.70,20,2.6,5.10,10,0,23,23,0.260,0.470,0.40,0,0.16
"Atún, lomito fresco, crudo",137,68.1,23.3,4.9,38,1.26,1.60,1.43,0,0.05,0,0.043,0.283,0.890,0,0,0,0,0,0,1.18,39,252,8,0.086,254,1.02,50,0.6,8.65,2,0,655,655,0.241,0.251,9.43,0,5.67
"McDonald's, Cajita Feliz, McNug- gets X4",242,53.1,14.6,12.5,44,1.98,5.13,3.54,0.31,3.22,0.187,0,0,0,17.7,19.8,0.1,0,2.1,0,x,344,252,11,0.049,272,0.89,24,0.59,7.40,0,0,0,0,0.160,0.110,0.33,1.2,0
"McDonald's, McNuggets x 10",242,53.1,14.6,12.5,44,1.98,5.13,3.54,0.31,3.22,0.187,0,0,0,17.7,19.8,0.1,0,2.1,0,x,344,252,11,0.049,272,0.89,24,0.59,7.40,0,0,0,0,0.160,0.110,0.33,1.2,0
"Arroz integral, crudo",350,11.8,7.5,3.2,0,0.59,1.05,1.00,0,0.97,0.032,0,0,0,72.7,76.3,0.7,0,3.6,0,1.21,5,250,9,0.302,280,1.16,110,2.02,6.17,14,0,0,0,0.410,0.090,0,0,0
Jamón crudo,319,39.9,28.8,22.6,56,7.94,11.06,2.58,0,0.71,0.068,0.110,0,0,0.2,0.2,0,0,0,0,x,2130,250,9,0.12,167,1.70,25,2.1,8.00,2,0,0,0,1.000,0.250,0.60,0,0.60
"Bocadito con dulce de leche tipo
Cabsha",427,6.9,5.3,13.1,11,6.16,2.84,3.00,0,2.93,0.047,0.005,0,0,72.2,73.0,62.3,62.3,0.8,0,x,207,250,150,0.127,136,0.65,28,0.87,0.20,6,0,23,22,0.105,0.266,0.40,0.3,0
"Milanesa de pollo, prefrita con- gelada",242,50.0,14.3,15.0,45,1.60,5.50,9.50,0,9.20,0.300,0,0,0,12.4,13.6,0,0,1.2,0,1.98,518,248,20,0.207,196,0.93,25,0.94,6.63,5,0,11,11,0.073,0.054,0.23,0,0
"Chaucha, fresca, cruda",29,91.6,2.4,0.2,0,0.05,0.01,0.11,0,0.04,0.069,0,0,0,4.3,7.0,3.3,0,2.7,0,0.66,23,247,32,0.069,38,1.03,25,0.24,0.70,33,0,35,0,0.048,0.104,0,19.6,0
"Chaucha, fresca, hervida",29,89.3,1.9,0.3,0,0.06,0.01,0.15,0,0.00,0,0,0,0,4.7,7.9,3.6,0,3.2,0,0.66,23,247,32,0.069,38,1.03,25,0.24,0.67,23,0,32,0,0.043,0.099,0,16.7,0
"Papa, croquetas u otro prefor- mado de papa rebozado, prefrito, congelado",176,62.8,1.9,8.7,0,1.42,3.38,3.14,0.06,2.84,0.219,0.002,0,0,22.5,24.8,0.3,0,2.3,0,1.75,428,247,13,0.075,64,0.47,16,0.26,1.82,17,0,0,0,0.184,0.061,0,6.9,0
"Queso untable, PROMEDIO",208,66.7,7.9,16.7,54,10.00,4.00,0.58,1.17,0.49,0.083,0,0,0,6.7,6.7,3.3,0,0,0,2.03,317,247,148,0.032,152,0.17,8,0.57,0.13,19,0,161,160,0.040,0.185,0.92,0,0.44
"Calamar, crudo",99,79.1,18.5,1.4,233,0.36,0.11,0.52,0,0.00,0.004,0.009,0.146,0.342,3.1,3.1,0,0,0,0,1.41,44,246,32,1.891,221,0.68,33,1.53,2.18,5,0,10,10,0.020,0.412,1.30,4.7,0
"McDonald's, Sundae chocolate",181,61.3,4.1,5.5,13,4.20,1.05,0.22,0.14,0.00,0,0,0,0,28.7,29.1,26.9,22.0,0.4,0,x,62,246,139,0.051,128,0.83,19,0.56,0.15,0,0,81,81,0.042,0.226,0.55,0,0
"Sesos, hervidos",147,74.9,11.7,10.5,3100,2.39,1.88,1.63,0.51,0.04,0,0.355,0,0.855,1.5,1.5,0,0,0,0,1.46,108,244,9,0.23,335,2.30,12,1.09,3.62,5,0,6,0,0.069,0.217,10.10,10.5,0
Galletas de arroz,380,3.4,6.3,2.1,0,0.38,0.85,0.87,0,0.80,0.070,0,0,0,83.9,86.0,1.2,0,2.1,0,2.24,377,243,0,0.301,362,0,156,2.2,5.54,22,0,0,0,0.436,0.101,0,0,0
"McDonald's, Club House",223,60.2,13.4,13.6,57,6.29,6.00,0.70,0.41,0.63,0.070,0,0,0,11.7,12.8,3.5,1.5,1.1,0,x,256,242,106,0.091,165,2.18,21,3.33,4.21,45,0,0,0,0.127,0.303,1.68,0.6,0
"McDonald's, Doble Cuarto de Li- bra con queso",281,50.3,18.1,17.3,57,8.49,5.86,0.48,0.59,0.43,0.048,0,0,0,13.2,14.3,3.5,1.5,1.1,0,x,439,242,106,0.091,165,2.18,21,3.33,4.21,45,0,0,0,0.127,0.303,1.68,0.6,0
Queso untable tipo Finlandia,284,56.9,7.1,27.0,75,16.00,9.00,0.70,0.81,0.49,0.210,0,0,0,3.2,3.2,3.2,0,0.3,0,5.8,409,240,328,0.02,806,0.19,10,1.64,0.10,30,0,149,134,0.040,0.240,0.40,0.4,0
Queso untable tipo Finlandia light,195,71.2,9.0,16.0,44,9.30,6.00,0.50,0.48,0.35,0.150,0,0,0,3.8,3.8,3.8,0,0.3,0,x,364,240,367,0.02,806,0.19,10,1.64,0.10,30,0,149,134,0.040,0.240,0.40,0.4,0
