Alimento,Valor energético (Kcal),Agua (g),Proteínas (g),Lípidos totales (g),Colesterol (mg),Saturados (g),Monoinsaturados (g),Polininsaturados (g),Trans (g),18:2 cis Linoléico (g),18:3 cis Alfa linolénico (ALA) (g),20:4 Araquidónico (g),20:5 n-3 Eicosapentae- noico (EPA) (g),22:6 n-3 Docosahexae- noico (DHA) (g),Carbohidratos disponibles (g),Carbohidratos totales (g),Azúcar total (g),Azúcar agregado (g),Fibra alimentaria (g),Alcohol (g),Cenizas (g),Sodio (mg),Potasio (mg),Calcio (mg),Cobre (mg),Fósforo (mg),Hierro (mg),Magnesio (mg),Zinc (mg),Niacina (mg),Folato EFD (µg),Ácido fólico (µg),"Vitamina A, (µg)
RAE",Retinol (µg),Tiamina (mg),Riboflavina (mg),Vitamina B-12 (µg),Vitamina C (mg),Vitamina D (µg)
"Cereal desayuno, salvado de trigo tipo bastoncitos",259,3.4,13.0,3.0,0,0.40,0.40,1.30,0,1.21,0.01,0,0,0,45.0,75.0,17.5,17.5,30.0,0,x,300,518,200,0.5,517,8.75,138,4.25,10.00,255,150,300,300,0.750,0.820,1.50,27.5,0
"Soja, porotos, hervidos",163,62.6,18.2,9.0,0,1.30,1.98,5.06,0,4.47,0.598,0,0,0,2.4,8.4,3.0,0,6.0,0,1.91,1,515,102,0.407,245,5.14,86,1.15,0.40,54,0,0,0,0.155,0.285,0,1.7,0
Pasas de uva con chocolate,411,11.2,4.1,14.8,3.0,10.27,3.13,0.57,0,0.53,0.037,0,0,0,65.3,68.4,62.2,31.0,3.1,0,1.5,36,514,86,0.373,143,1.71,45,1.25,0.40,7,0,29,29,0.084,0.161,0.37,0.2,0
"Vacuno, cortes semigrasos***,
PROMEDIO, hervido",293,46.0,35.6,16.8,110,6.87,7.81,0.94,0.67,0.42,0.02,0.073,0,0,0,0,0,0,0,0,1.68,102,510,22,0.118,323,3.45,28,8.03,7.35,7,0,5,5,0.071,0.320,2.71,0,0.13
"Amaranto, crudo",366,11.1,15.4,7.8,0,1.90,2.19,3.61,0,3.55,0.550,0,0,0,58.6,63.2,1.7,0,6.7,0,2.4,4,508,159,0.525,557,10.40,248,4.2,0.92,82,0,0,0,0.116,0.200,0,4.2,0
"Leche fórmula, tipo Nutrilon Pepti junior HE, en polvo",511,6.0,14.0,27.0,0,16.00,6.40,4.80,0,3.70,0.700,0.100,0,0.100,53.0,53.0,53.0,53.0,0,0,x,144,507,390,0.314,216,6.00,40,3.9,3.40,119,70,405,405,0.390,0.770,1.40,65.0,9.8
"Postre a base de pasta de maní,
tipo Mantecol",526,2.7,13.5,32.0,0,7.00,21.50,3.50,0,3.43,0.070,0,0,0,46.0,51.0,45.0,45.0,5.0,0,2.35,250,505,110,0.4,310,1.70,110,2,8.20,77,0,0,0,0.232,0.200,0.20,0.3,0
"Habas, cruda",95,73.4,6.7,0.8,0,0.20,0.05,0.42,0,0.28,0.136,0,0,0,15.3,20.2,1.5,0,4.9,0,2.80,12,502,36,0.318,157,1.39,58,0.78,0.80,34,0,10,0,0.200,0.152,0,38.3,0
"Habas, hervida",95,73.4,6.7,0.8,0,0.20,0.05,0.42,0,0.28,0.136,0,0,0,15.3,20.2,1.5,0,4.9,0,2.80,12,502,36,0.318,157,1.39,58,0.78,0.76,24,0,9,0,0.160,0.144,0,32.6,0
Maní con chocolate,534,1.9,13.1,33.5,9.0,14.60,12.92,4.33,0,4.22,0.040,0,0,0,45.0,49.7,37.6,37.6,4.7,0,1.8,41,502,104,0.544,212,1.31,96,2.6,4.25,51,0,41,41,0.116,0.174,0.53,0,0
"Leche fórmula, tipo GA1 Anamix Infant, en polvo",459,10.4,13.1,23.0,0,7.50,9.41,5.00,0,4.10,0.660,0.140,0,0.110,49.8,53.5,7.3,0,3.7,0,x,191,501,410,0.43,300,8.10,58,5.7,2.23,94,55,392,392,0.500,0.500,1.20,49.0,8.7
"Tomate, puré de tomate, hervido",42,86.2,1.9,0.2,0,0.03,0.04,0.10,0,0.09,0,0,0,0,8.0,10.2,5.5,0,2.2,0,1.45,76,499,20,0.33,45,2.02,26,0.41,1.58,9,0,28,0,0.027,0.086,0,11.4,0
